,,Input Variables,,Output 
Matrix,Processing temperature ,Screw (rpm),Residence Time (min),Tensile Strenght (MPa)
H(60),220 oC,60,10,0.99
H(60),220 oC,60,10,1.92
H(60),220 oC,60,10,1.9
H(60),220 oC,60,10,2.21
H(60),220 oC,60,10,1.87
H(60),220 oC,60,10,1.91
H(60),220 oC,60,10,1.65
H(60),220 oC,60,10,2.5
H(60),220 oC,60,10,2.01
H(60),220 oC,60,10,2.03
H(60),220 oC,60,10,2.16
H(60),220 oC,60,10,2.19
H(100),220 oC,60,20,1.06
H(100),220 oC,60,20,0.85
H(100),220 oC,60,20,0.93
H(100),220 oC,60,20,1.04
H(100),220 oC,60,20,1.14
H(100),220 oC,60,20,1.22
H(100),170 OC,100,6,3.62
H(100),170 OC,100,6,5.08
H(100),170 OC,100,6,7.88
L(100),220 OC,80,30,1.27
L(100),220 OC,80,30,1.15
L(100),220 OC,80,30,1.32
L(100),220 OC,80,30,1.23
L(100),220 OC,80,30,0.73
L(100),220 OC,80,30,0.01
L(100),220 OC,80,30,0.83
L(100),220 OC,80,30,0.73
U(100),180 OC,,30,1.05
U(100),180 OC,,30,1
U(100),180 OC,,30,1.07
U(100),180 OC,,30,1.09
U(100),180 OC,,30,1.3
U(100),180 OC,,30,1.4
H(30),204 OC,20,,1.08
H(30),204 OC,20,,1.16
H(30),204 OC,20,,1.1
H(30),204 OC,20,,1.32
L(100),140 OC,120,20,10.7
L(100),140 OC,120,20,11.8
L(100),140 OC,120,20,13.1
L(100),140 OC,120,20,14.5
L(100),140 OC,120,20,15.6
,,,,,
,,,,,
,,,,,
,,,,,
